Date,Price,Open,High,Low,Vol.,Change %
12/06/2009,"1,114.90","1,160.45","1,168.90","1,109.50",,-4.03%
11/29/2009,"1,161.70","1,176.70","1,226.60","1,147.75",,-1.36%
11/22/2009,"1,177.70","1,151.80","1,195.90","1,137.80",,2.41%
11/15/2009,"1,149.95","1,118.30","1,153.15","1,118.30",,2.75%
11/08/2009,"1,119.20","1,097.41","1,123.25","1,095.80",,2.21%
11/01/2009,"1,095.05","1,044.30","1,101.30","1,040.65",,4.80%
10/25/2009,"1,044.90","1,054.30","1,060.10","1,026.25",,-0.95%
10/18/2009,"1,054.95","1,052.15","1,068.20","1,047.90",,0.16%
10/11/2009,"1,053.25","1,049.00","1,071.40","1,043.90",,0.38%
10/04/2009,"1,049.25","1,001.80","1,062.20","1,001.55",,4.68%
09/27/2009,"1,002.35",993,"1,010.40",985.9,,1.07%
09/20/2009,991.75,"1,004.85","1,019.90",985.1,,-1.53%
09/13/2009,"1,007.15","1,005.35","1,024.85",992.9,,0.13%
09/06/2009,"1,005.85",993.9,"1,012.55",983.1,,1.15%
08/30/2009,994.4,955.65,998.2,944.8,,4.02%
08/23/2009,955.95,952.9,962,940.3,,0.19%
08/16/2009,954.15,947,958.65,930.7,,0.72%
08/09/2009,947.35,954.75,962.05,940.9,,-0.79%
08/02/2009,954.9,953.3,972.25,951.85,,0.02%
07/26/2009,954.75,951.8,959.7,926.1,,0.36%
07/19/2009,951.35,938.3,958.1,937.65,,1.46%
07/12/2009,937.7,912.1,942.95,908.4,,2.69%
07/05/2009,913.15,932.55,933.1,906,,-2.08%
06/28/2009,932.5,940.6,947.25,923.6,,-0.70%
06/21/2009,939.05,933.45,948.7,913.4,,0.51%
06/14/2009,934.3,939.5,943.7,926.5,,-0.49%
06/07/2009,938.9,955.65,966.25,937,,-1.82%
05/31/2009,956.3,979.6,990.8,953.5,,-2.42%
05/24/2009,980,957,981,941.1,,2.37%
05/17/2009,957.35,930.6,962.3,916.05,,2.75%
05/10/2009,931.7,916.65,934.65,909,,1.60%
05/03/2009,917.05,887.3,926.15,885.05,,3.35%
04/26/2009,887.3,913.6,919.75,881.05,,-2.83%
04/19/2009,913.1,869.05,914.5,865.5,,5.09%
04/12/2009,868.9,881.65,900.35,865,,-1.45%
04/05/2009,881.65,894.85,896.8,865.3,,-1.37%
03/29/2009,893.9,925.4,934.35,892,,-3.16%
03/22/2009,923.05,951.85,959,918.1,,-3.13%
